Time,Fixed-Point-Operation,Edge,Label,Old Bound,New Bound,Occurred Due To,Clause-1,Clause-2,Clause-3
0,0,"('the_people_who_dug_for_rain', 'protagonist_centered_focus')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_protagonist_centered_focus,,,
0,0,"('the_people_who_dug_for_rain', 'internal_goals')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_internal_goals,,,
0,0,"('the_people_who_dug_for_rain', 'decision_driven_plot')",individualistic_feature,"[0.0,1.0]","[0.25,0.25]",fact_the_people_who_dug_for_rain_decision_driven_plot,,,
0,0,"('the_people_who_dug_for_rain', 'self_reliance')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_self_reliance,,,
0,0,"('the_people_who_dug_for_rain', 'individual_accolades')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_individual_accolades,,,
0,0,"('the_people_who_dug_for_rain', 'meritocracy_emphasis')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_meritocracy_emphasis,,,
0,0,"('the_people_who_dug_for_rain', 'man_vs_self_world_conflict')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_man_vs_self_world_conflict,,,
0,0,"('the_people_who_dug_for_rain', 'solo_confrontations')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_solo_confrontations,,,
0,0,"('the_people_who_dug_for_rain', 'inner_journey')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_inner_journey,,,
0,0,"('the_people_who_dug_for_rain', 'self_actualization_climax')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_self_actualization_climax,,,
0,0,"('the_people_who_dug_for_rain', 'personal_ethics_over_group_norms')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_personal_ethics_over_group_norms,,,
0,0,"('the_people_who_dug_for_rain', 'uniqueness_self_expression')",individualistic_feature,"[0.0,1.0]","[0.25,0.25]",fact_the_people_who_dug_for_rain_uniqueness_self_expression,,,
0,0,"('the_people_who_dug_for_rain', 'self_construal')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_self_construal,,,
0,0,"('the_people_who_dug_for_rain', 'behavioral_guidance')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_behavioral_guidance,,,
0,0,"('the_people_who_dug_for_rain', 'relationship_orientation')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_relationship_orientation,,,
0,0,"('the_people_who_dug_for_rain', 'primary_conflict')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_primary_conflict,,,
0,0,"('the_people_who_dug_for_rain', 'resolution_style')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_resolution_style,,,
0,0,"('the_people_who_dug_for_rain', 'moral_emphasis')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_moral_emphasis,,,
0,0,"('the_people_who_dug_for_rain', 'relationship_framing')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_relationship_framing,,,
0,0,"('the_people_who_dug_for_rain', 'vertical_individualism')",individualistic_feature,"[0.0,1.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_vertical_individualism,,,
1,1,"('the_people_who_dug_for_rain', 'protagonist_centered_focus')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_protagonist_centered_focus,,,
1,1,"('the_people_who_dug_for_rain', 'internal_goals')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_internal_goals,,,
1,1,"('the_people_who_dug_for_rain', 'decision_driven_plot')",individualistic_feature,"[0.25,0.25]","[0.25,0.25]",fact_the_people_who_dug_for_rain_decision_driven_plot,,,
1,1,"('the_people_who_dug_for_rain', 'self_reliance')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_self_reliance,,,
1,1,"('the_people_who_dug_for_rain', 'individual_accolades')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_individual_accolades,,,
1,1,"('the_people_who_dug_for_rain', 'meritocracy_emphasis')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_meritocracy_emphasis,,,
1,1,"('the_people_who_dug_for_rain', 'man_vs_self_world_conflict')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_man_vs_self_world_conflict,,,
1,1,"('the_people_who_dug_for_rain', 'solo_confrontations')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_solo_confrontations,,,
1,1,"('the_people_who_dug_for_rain', 'inner_journey')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_inner_journey,,,
1,1,"('the_people_who_dug_for_rain', 'self_actualization_climax')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_self_actualization_climax,,,
1,1,"('the_people_who_dug_for_rain', 'personal_ethics_over_group_norms')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_personal_ethics_over_group_norms,,,
1,1,"('the_people_who_dug_for_rain', 'uniqueness_self_expression')",individualistic_feature,"[0.25,0.25]","[0.25,0.25]",fact_the_people_who_dug_for_rain_uniqueness_self_expression,,,
1,1,"('the_people_who_dug_for_rain', 'self_construal')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_self_construal,,,
1,1,"('the_people_who_dug_for_rain', 'behavioral_guidance')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_behavioral_guidance,,,
1,1,"('the_people_who_dug_for_rain', 'relationship_orientation')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_relationship_orientation,,,
1,1,"('the_people_who_dug_for_rain', 'primary_conflict')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_primary_conflict,,,
1,1,"('the_people_who_dug_for_rain', 'resolution_style')",individualistic_feature,"[0.0,0.0]","[0.0,0.0]",fact_the_people_who_dug_for_rain_resolution_style,,,
